Date,Open,High,Low,Close,Volume
2020-11-23,3066.64,3092.44,3042.61,3047.06,35046948449
2020-11-24,3071.8,3098.63,3053.63,3095.84,35240212495
2020-11-25,3111.75,3134.52,3092.56,3134.52,55569931000
2020-11-26,3141.43,3149.45,3119.62,3138.62,75230717678
2020-11-27,3132.55,3148.5,3113.17,3142.68,116191854693
2020-11-30,3130.88,3134.72,3094.52,3107.58,48942278562
2020-12-01,3113.06,3157.86,3113.06,3147.79,32751152012
2020-12-02,3150.66,3189.61,3140.91,3189.61,35659381673
2020-12-03,3185.78,3192.94,3141.65,3162.67,50382122079
2020-12-04,3171.44,3199.48,3171.44,3184.72,42584220994
2020-12-07,3179.14,3205.17,3173.19,3195.08,28023400232
2020-12-08,3184.93,3197.65,3150.84,3179.61,29274992173
2020-12-09,3184.24,3226.12,3183.51,3211.66,34439650785
2020-12-10,3194.03,3258.31,3189.29,3258.31,51286294209
2020-12-11,3257.47,3277.99,3248.72,3276.58,38351566874
2020-12-14,3293,3314.01,3249.64,3254.83,68378190170
2020-12-15,3252.68,3284.46,3238.14,3248.11,42721594380
2020-12-16,3259.89,3275.28,3243.33,3269.95,72174620573
2020-12-17,3277.67,3318.39,3274.89,3282.67,53438376029
2020-12-18,3281.59,3283.32,3247.01,3273.75,33586324683
2020-12-21,3246.9,3246.9,3170.81,3186.38,63461758592
2020-12-22,3179.69,3249.09,3175.75,3236.46,30749954390
2020-12-23,3224.02,3255.02,3218.19,3252.1,36265888794
2020-12-24,3253.73,3264.6,3231.35,3236.88,20464616747
2020-12-25,3236.38,3248.63,3229.58,3246.35,11247763120
2020-12-28,3249.41,3266.63,3249.41,3258.95,23351341028
2020-12-29,3269.71,3281.53,3264.64,3274.67,20662804106
2020-12-30,3276.04,3294.31,3267.39,3289.02,20577320667
2021-01-04,3306.12,3350.8,3304.17,3350.51,26628179858
2021-01-05,3327.94,3364.98,3304.05,3359.15,30959754632
2021-01-06,3373.37,3380.47,3344.59,3371.03,27326791887
2021-01-08,3390.23,3474.66,3390.23,3454.82,42659383268
2021-01-11,3455.67,3515.59,3436.79,3482.48,65789824811
2021-01-12,3494.6,3520.09,3453.08,3471.65,54370155950
2021-01-13,3487.92,3503.44,3450.47,3470.26,41135624975
2021-01-14,3461.83,3506.98,3440.29,3490.85,30655675850
2021-01-15,3486.02,3508.52,3450.24,3450.95,87260974023
2021-01-18,3440.56,3475.14,3426.46,3471.92,41618921097
2021-01-19,3479.53,3491.22,3439.7,3443.23,36680361903
2021-01-20,3453.54,3482.03,3447.81,3466.8,26853693845
2021-01-21,3481.74,3489.07,3407.22,3422.67,41549023096
2021-01-22,3404.36,3404.36,3362.3,3382.92,36298637494
2021-01-25,3399.28,3425.78,3386.44,3397.48,29111108238
2021-01-26,3384.99,3408.13,3374.1,3390.76,20657048159
2021-01-27,3398.38,3408.18,3333.35,3343.62,27657567663
2021-01-28,3319.16,3358.46,3309.15,3342.01,37087050412
2021-01-29,3335.13,3336.89,3272.87,3277.08,27214690721
2021-02-01,3287.96,3305.67,3268.95,3291.14,22593550847
2021-02-02,3324.24,3365.49,3321.7,3360.25,30095094541
2021-02-03,3351.99,3376.71,3332.5,3343.46,25498989059
2021-02-04,3356.23,3384.48,3353.27,3372,20395500893
2021-02-05,3396.97,3404.9,3369.59,3392.73,31536800019
2021-02-08,3412.97,3448.72,3412.97,3445.9,22515773272
2021-02-09,3461.15,3466.51,3424.39,3426.86,27455885987
2021-02-10,3437.76,3446.87,3395.81,3399.66,19553449045
2021-02-11,3405.33,3415.99,3390.83,3414.32,14198996538
2021-02-12,3403.07,3427.08,3345.98,3427.08,22794797550
2021-02-15,3461.94,3482.61,3456.68,3481.9,24057572634
2021-02-16,3502.04,3510.77,3476.87,3495.26,19221174133
2021-02-17,3491.81,3504.19,3432.84,3436.8,26813709641
2021-02-18,3451.69,3461.15,3396.13,3400.17,28532736152
2021-02-19,3398.4,3460.83,3381.68,3457.68,24158754742
2021-02-20,3454.43,3455.13,3435.42,3446.32,1743083982
2021-02-22,3447.57,3456.26,3415.37,3433.93,12587646119
2021-02-24,3426.07,3433.09,3385.48,3385.48,21652695814
2021-02-25,3412.16,3428.54,3392.04,3409.76,39567441366
2021-02-26,3354.45,3385.48,3333.27,3346.64,36168626274
2021-03-01,3369.68,3391.53,3355.51,3386.16,16754564594
2021-03-02,3380.35,3417.36,3375.48,3410.1,22581185637
2021-03-03,3432.88,3449.97,3409.78,3416.04,28575548627
2021-03-04,3403.01,3414.36,3367.1,3397.56,34145448132
2021-03-05,3378.68,3432.21,3368.73,3414.13,28641505681
2021-03-09,3426.48,3490.73,3426.33,3478.72,43560610538
