"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"01/23/2024,""63,825.73"",""64,709.20"",""64,805.91"",""63,202.02"","""",""-1.37%"""
"01/22/2024,""64,709.34"",""64,580.79"",""65,164.48"",""64,445.86"","""",""0.20%"""
"01/19/2024,""64,580.87"",""63,572.44"",""64,593.07"",""63,549.68"","""",""1.59%"""
"01/18/2024,""63,571.82"",""63,019.42"",""63,779.55"",""62,994.57"","""",""0.88%"""
"01/17/2024,""63,019.94"",""63,293.08"",""63,344.37"",""63,007.66"","""",""-0.43%"""
"01/16/2024,""63,292.90"",""63,787.55"",""63,788.05"",""63,128.27"","""",""-0.77%"""
"01/15/2024,""63,787.07"",""63,628.46"",""63,791.38"",""63,314.06"","""",""0.25%"""
"01/12/2024,""63,628.13"",""63,067.28"",""63,653.65"",""63,012.21"","""",""0.89%"""
"01/11/2024,""63,066.57"",""62,804.37"",""63,329.83"",""62,603.36"","""",""0.42%"""
"01/10/2024,""62,804.52"",""61,921.17"",""62,825.89"",""61,910.74"","""",""1.43%"""
"01/09/2024,""61,921.62"",""61,374.69"",""61,921.62"",""61,278.50"","""",""0.89%"""
"01/08/2024,""61,374.10"",""61,454.97"",""61,581.08"",""61,022.09"","""",""-0.13%"""
"01/05/2024,""61,454.62"",""60,838.57"",""61,454.62"",""60,627.91"","""",""1.01%"""
"01/04/2024,""60,838.30"",""60,684.79"",""60,910.40"",""60,497.77"","""",""0.25%"""
"01/03/2024,""60,685.11"",""60,744.87"",""61,114.29"",""60,564.27"","""",""-0.10%"""
"01/02/2024,""60,744.59"",""60,619.71"",""61,322.41"",""60,463.78"","""",""0.21%"""
"12/29/2023,""60,620.01"",""60,739.16"",""60,784.46"",""60,390.50"","""",""-0.20%"""
"12/28/2023,""60,739.46"",""60,288.08"",""60,739.46"",""60,235.10"","""",""0.75%"""
"12/27/2023,""60,288.49"",""60,294.67"",""60,712.75"",""60,146.61"","""",""-0.01%"""
"12/22/2023,""60,294.40"",""60,552.27"",""60,701.17"",""60,173.42"","""",""-0.42%"""
"12/21/2023,""60,551.62"",""61,061.07"",""61,128.12"",""60,461.97"","""",""-0.83%"""
"12/20/2023,""61,061.16"",""60,865.24"",""61,356.70"",""60,865.24"","""",""0.32%"""
"12/19/2023,""60,864.82"",""60,538.40"",""60,920.49"",""60,416.41"","""",""0.54%"""
"12/18/2023,""60,538.62"",""60,368.92"",""60,906.12"",""60,336.27"","""",""0.28%"""
"12/15/2023,""60,369.18"",""60,476.32"",""60,952.02"",""60,239.79"","""",""-0.18%"""
"12/14/2023,""60,475.92"",""58,880.92"",""60,560.70"",""58,880.92"","""",""2.71%"""
"12/13/2023,""58,883.03"",""59,004.37"",""59,268.07"",""58,671.52"","""",""-0.21%"""
"12/12/2023,""59,004.86"",""58,300.02"",""59,004.92"",""58,222.56"","""",""1.21%"""
"12/11/2023,""58,300.25"",""58,669.95"",""58,961.28"",""58,291.53"","""",""-0.63%"""
"12/08/2023,""58,669.83"",""58,425.24"",""58,693.91"",""58,278.60"","""",""0.42%"""
"12/07/2023,""58,424.86"",""58,447.68"",""58,574.04"",""58,048.23"","""",""-0.04%"""
"12/06/2023,""58,447.63"",""58,432.34"",""58,659.63"",""58,178.14"","""",""0.03%"""
"12/05/2023,""58,432.29"",""58,510.83"",""58,751.03"",""58,076.97"","""",""-0.13%"""
"12/04/2023,""58,509.85"",""58,010.72"",""58,666.86"",""58,010.72"","""",""0.86%"""
"12/01/2023,""58,010.99"",""57,878.19"",""58,042.37"",""57,701.75"","""",""0.23%"""
"11/30/2023,""57,878.43"",""57,346.86"",""57,992.45"",""57,247.21"","""",""0.93%"""
"11/29/2023,""57,346.69"",""57,175.99"",""57,522.92"",""57,038.53"","""",""0.30%"""
"11/28/2023,""57,176.11"",""55,887.51"",""57,176.15"",""55,748.17"","""",""2.30%"""
"11/27/2023,""55,887.95"",""56,091.51"",""56,332.73"",""55,670.35"","""",""-0.36%"""
"11/24/2023,""56,091.37"",""56,511.67"",""56,511.67"",""55,994.34"","""",""-0.74%"""
"11/23/2023,""56,511.84"",""56,827.05"",""56,876.99"",""56,390.75"","""",""-0.56%"""
"11/22/2023,""56,827.95"",""56,450.63"",""56,827.95"",""56,360.58"","""",""0.67%"""
"11/21/2023,""56,450.22"",""56,894.86"",""57,103.02"",""56,394.61"","""",""-0.78%"""
"11/20/2023,""56,895.03"",""57,010.97"",""57,204.37"",""56,792.37"","""",""-0.20%"""
"11/17/2023,""57,010.75"",""57,566.26"",""57,610.16"",""57,010.75"","""",""-0.96%"""
"11/16/2023,""57,565.67"",""58,011.70"",""58,082.37"",""57,308.58"","""",""-0.77%"""
"11/15/2023,""58,011.31"",""57,678.93"",""58,118.73"",""57,609.27"","""",""0.58%"""
"11/14/2023,""57,678.77"",""57,093.49"",""57,840.30"",""56,961.10"","""",""1.02%"""
"11/13/2023,""57,093.66"",""57,529.76"",""57,802.92"",""57,032.30"","""",""-0.76%"""
"11/10/2023,""57,529.95"",""57,303.97"",""57,917.18"",""57,302.82"","""",""0.40%"""
"11/09/2023,""57,302.85"",""57,283.73"",""57,383.67"",""57,120.05"","""",""0.03%"""
"11/08/2023,""57,283.77"",""57,271.62"",""57,494.47"",""57,094.82"","""",""0.02%"""
"11/07/2023,""57,271.67"",""57,401.09"",""57,453.35"",""57,077.46"","""",""-0.22%"""
"11/06/2023,""57,400.67"",""57,338.02"",""57,513.13"",""57,110.69"","""",""0.11%"""
